Horsepower,Mileage,Price
222,11,19440
374,29,20640
86,15,7050
296,13,21460
256,7,19490
108,24,5120
337,18,21220
352,10,27340
308,29,15540
308,26,17970
356,16,24950
119,19,7220
111,16,11170
226,4,19800
37,12,6310
356,1,32460
141,1,16830
171,17,12450
267,18,19930
252,1,24000
108,1,16160
152,28,5720
311,16,21760
245,26,11330
111,29,1340
359,29,20880
367,6,27860
248,1,23210
185,16,14640
370,13,30560
252,27,12390
326,10,23910
86,21,3460
259,10,21700
259,20,17650
204,16,17660
259,22,16220
219,17,17880
234,5,20800
267,11,21320
41,7,5820
219,21,12700
108,21,5160
300,26,16490
174,3,17170
97,5,13390
45,29,720
359,22,22600
252,18,16920
82,21,4490
63,24,5860
363,28,21160
226,1,24220
37,6,9270
341,18,24330
370,11,30310
252,6,23480
293,27,17900
193,20,10550
60,6,8990
204,6,19690
160,29,6660
319,21,22370
330,16,24590
163,10,12640
215,12,18080
45,12,3710
230,3,21830
230,17,17740
374,27,20620
263,15,21730
97,7,9150
363,9,30950
193,28,8580
156,13,10090
304,30,14420
259,2,26640
82,5,11350
382,27,22640
208,18,10750
86,1,14830
319,14,26170
352,4,29760
259,21,17230
178,11,15650
344,10,25280
326,3,29470
333,30,19730
226,6,21850
119,14,7550
126,24,4330
359,1,33560
252,6,23390
182,7,13470
137,16,6090
86,10,8630
196,7,17030
270,22,16230
359,22,22860
293,11,24790
63,11,6660
356,25,22060
356,30,21410
263,8,25810
330,5,28680
60,25,1040
160,20,12340
160,16,12710
152,10,14040
48,24,100
182,18,12170
134,12,9030
56,10,6040
300,20,21050
296,10,23620
74,4,10460
156,6,13600
152,14,12290
208,6,17040
115,2,14540
259,2,24370
356,20,21240
167,5,18290
396,10,30930
193,14,17350
348,23,24380
367,18,24370
160,26,6060
270,7,21760
396,9,29180
204,11,16010
319,15,25410
34,2,9510
48,8,8000
363,8,30380
82,29,1200
130,6,11840
63,9,8680
322,29,16760
86,8,5700
363,19,24860
185,29,6430
315,21,22700
219,18,14320
263,14,19700
385,6,32760
222,1,21970
385,10,29960
45,19,3080
378,15,26180
115,5,11900
86,13,5880
189,28,10770
137,9,11820
163,28,6400
78,14,5640
148,2,16310
293,30,14080
248,11,20670
348,7,27300
134,28,2450
274,14,19850
185,16,12180
196,28,6750
259,30,12300
241,18,13990
52,29,680
134,19,6110
134,26,4540
193,10,16010
341,26,22730
141,10,10160
259,20,17120
308,5,28260
370,8,29870
359,28,18750
259,16,18430
389,17,29710
130,14,12430
259,7,22850
315,10,27280
41,14,4070
289,26,15870
296,7,27720
130,20,8030
63,8,8170
259,1,26510
